MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
2024-09-28,Lens,Nice,0,0,D,0,0,D,22,15,7,4,16,7,11,4,4,2,1,0,2.05,3.4,3.75,2.05,3.5,3.6,2.08,3.42,3.83,1.9,3.5,4.2,1.94,3.46,4.45,2024-25
2024-09-28,Le Havre,Lille,0,3,A,0,2,A,7,18,4,10,11,9,1,5,2,1,0,0,4.75,3.7,1.75,4.4,3.7,1.8,4.7,3.71,1.81,4.0,3.5,1.95,4.41,3.53,1.92,2024-25
2024-09-28,Monaco,Montpellier,2,1,H,1,1,D,21,9,7,4,17,17,6,2,4,3,0,1,1.33,5.5,7.5,1.36,5.25,7.75,1.34,5.7,8.48,1.27,5.75,9.5,1.29,6.22,9.74,2024-25
2024-09-29,Toulouse,Lyon,1,2,A,1,1,D,10,4,4,1,12,15,3,4,2,2,0,0,2.45,3.4,2.88,2.45,3.4,2.8,2.5,3.55,2.85,2.45,3.5,2.8,2.43,3.57,2.98,2024-25
2024-09-29,Angers,Reims,1,3,A,0,2,A,14,21,3,10,7,11,5,4,0,3,0,0,3.6,3.2,2.2,3.3,3.3,2.2,3.59,3.28,2.22,3.6,3.2,2.15,3.78,3.26,2.19,2024-25
2024-09-29,Nantes,St Etienne,2,2,D,1,0,H,16,5,3,3,11,12,8,4,2,2,1,0,1.73,3.8,4.75,1.73,3.75,4.6,1.78,3.71,4.92,1.73,3.7,4.75,1.78,3.71,5.05,2024-25
2024-09-29,Strasbourg,Marseille,1,0,H,1,0,H,14,10,6,3,17,7,8,3,2,1,0,0,3.4,3.9,2.0,3.3,3.9,2.0,3.56,3.83,2.03,3.1,3.75,2.15,3.18,3.69,2.26,2024-25
2024-10-04,Marseille,Angers,1,1,D,0,0,D,13,8,4,3,12,9,9,3,4,0,1,1,1.25,6.0,12.0,1.25,6.25,11.0,1.24,6.59,12.26,1.27,5.75,11.0,1.27,6.17,10.94,2024-25
2024-10-05,St Etienne,Auxerre,3,1,H,1,0,H,13,11,5,3,13,10,5,4,3,1,0,0,2.7,3.4,2.6,2.65,3.5,2.55,2.79,3.47,2.58,3.0,3.3,2.35,3.22,3.31,2.41,2024-25
2024-10-05,Lille,Toulouse,2,1,H,0,1,A,10,9,3,3,13,8,4,6,3,2,0,0,1.73,4.1,4.5,1.75,3.8,4.5,1.75,4.02,4.64,1.75,3.9,4.33,1.79,3.81,4.8,2024-25
2024-10-05,Rennes,Monaco,1,2,A,1,2,A,14,5,3,2,9,16,10,4,2,4,0,0,2.7,3.5,2.55,2.7,3.6,2.45,2.75,3.65,2.53,2.75,3.3,2.6,2.76,3.49,2.64,2024-25
2024-10-06,Lyon,Nantes,2,0,H,1,0,H,17,11,6,6,10,5,6,9,1,2,0,0,1.75,3.6,4.75,1.8,3.8,4.2,1.79,3.95,4.43,1.65,3.9,5.5,1.68,4.05,5.27,2024-25
2024-10-06,Brest,Le Havre,2,0,H,1,0,H,8,14,3,0,19,11,1,9,4,0,1,1,1.8,3.6,4.5,1.85,3.5,4.4,1.83,3.55,4.83,1.8,3.6,4.5,1.84,3.57,4.77,2024-25
2024-10-06,Reims,Montpellier,4,2,H,2,1,H,18,10,5,3,15,13,4,4,3,5,0,0,1.8,3.8,4.33,1.82,3.9,4.0,1.81,3.99,4.28,1.65,4.1,5.0,1.67,4.19,5.18,2024-25
2024-10-06,Strasbourg,Lens,2,2,D,1,2,A,8,12,5,5,15,18,3,5,2,4,0,0,3.0,3.3,2.4,2.87,3.4,2.4,2.99,3.48,2.44,2.63,3.3,2.7,2.7,3.45,2.72,2024-25
2024-10-06,Nice,Paris SG,1,1,D,1,0,H,9,19,3,9,7,9,5,15,1,2,0,0,4.75,4.0,1.7,4.8,3.9,1.68,5.07,4.03,1.69,5.25,4.33,1.57,5.57,4.31,1.61,2024-25
