Date,HomeTeam,WeatherDesc,TempMaxC,PrecipMM,WindKmh
2027-05-15,Paris SG,N/A,,,
2027-05-15,Toulouse,N/A,,,
2027-05-15,Brest,N/A,,,
2027-05-15,Marseille,N/A,,,
2027-05-15,Lille,N/A,,,
2027-05-15,Auxerre,N/A,,,
2027-05-15,Strasbourg,N/A,,,
2027-05-21,Nice,N/A,,,
2027-05-21,Angers,N/A,,,
2027-05-21,Lorient,N/A,,,
2027-05-21,ES Troyes AC,N/A,,,
2027-05-21,Le Mans FC,N/A,,,
2027-05-21,Toulouse,N/A,,,
2027-05-21,Le Havre,N/A,,,
2027-05-21,Paris FC,N/A,,,
2027-05-21,Racing Club de Lens,N/A,,,
2027-05-28,Monaco,N/A,,,
2027-05-28,Paris SG,N/A,,,
2027-05-28,Lille,N/A,,,
2027-05-28,Brest,N/A,,,
2027-05-28,Marseille,N/A,,,
2027-05-28,Stade Rennais FC 1901,N/A,,,
2027-05-28,Lyon,N/A,,,
2027-05-28,Auxerre,N/A,,,
2027-05-28,Strasbourg,N/A,,,
