MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2023-12-20,Toulouse,Monaco,1.0,2.0,1.55,1.24
2023-12-20,Nice,Lens,2.0,0.0,1.55,0.93
2024-01-12,Marseille,Strasbourg,1.0,1.0,0.62,1.24
2024-01-13,Monaco,Reims,1.0,3.0,1.55,1.55
2024-01-13,Rennes,Nice,2.0,0.0,1.55,0.62
2024-01-14,Le Havre,Lyon,3.0,1.0,2.17,0.62
2024-01-14,Lens,Paris SG,0.0,2.0,1.55,2.17
2024-01-14,Lille,Lorient,3.0,0.0,3.1,0.0
2024-01-14,Brest,Montpellier,2.0,0.0,2.79,1.24
2024-01-14,Metz,Toulouse,0.0,1.0,0.62,0.62
2024-01-14,Nantes,Clermont,1.0,2.0,2.79,1.86
2024-01-26,Lyon,Rennes,2.0,3.0,1.86,1.55
2024-01-27,Nice,Metz,1.0,0.0,2.79,0.31
2024-01-27,Marseille,Monaco,2.0,2.0,2.79,1.55
2024-01-28,Montpellier,Lille,0.0,0.0,2.17,0.0
2024-01-28,Clermont,Strasbourg,1.0,1.0,1.86,0.62
2024-01-28,Lorient,Le Havre,3.0,3.0,1.86,1.55
2024-01-28,Reims,Nantes,0.0,0.0,0.31,1.55
2024-01-28,Toulouse,Lens,0.0,2.0,1.24,1.55
2024-01-28,Paris SG,Brest,2.0,2.0,1.24,1.86
2024-02-02,Strasbourg,Paris SG,1.0,2.0,2.48,1.55
2024-02-03,Rennes,Montpellier,2.0,1.0,0.93,2.79
2024-02-03,Nantes,Lens,0.0,1.0,0.62,1.24
2024-02-04,Monaco,Le Havre,1.0,1.0,1.55,0.0
2024-02-04,Metz,Lorient,1.0,2.0,0.93,1.24
2024-02-04,Lille,Clermont,4.0,0.0,4.03,0.93
2024-02-04,Lyon,Marseille,1.0,0.0,2.17,0.31
2024-02-04,Brest,Nice,0.0,0.0,0.62,0.31
2024-02-04,Reims,Toulouse,2.0,3.0,1.55,1.24
2024-02-09,Marseille,Metz,1.0,1.0,1.86,0.93
2024-02-10,Lens,Strasbourg,3.0,1.0,1.86,1.55
2024-02-10,Paris SG,Lille,3.0,1.0,2.48,0.93
2024-02-11,Le Havre,Rennes,0.0,1.0,1.55,0.62
2024-02-11,Clermont,Brest,1.0,1.0,0.62,2.79
2024-02-11,Lorient,Reims,2.0,0.0,1.55,1.86
2024-02-11,Toulouse,Nantes,1.0,2.0,0.93,0.62
2024-02-11,Montpellier,Lyon,1.0,2.0,2.48,1.55
2024-02-11,Nice,Monaco,2.0,3.0,1.55,1.55
2024-02-16,Lyon,Nice,1.0,0.0,0.31,1.86
2024-02-17,Lille,Le Havre,3.0,0.0,2.48,0.62
2024-02-17,Nantes,Paris SG,0.0,2.0,2.17,0.62
2024-02-18,Strasbourg,Lorient,1.0,3.0,1.24,1.86
2024-02-18,Monaco,Toulouse,1.0,2.0,1.55,2.17
2024-02-18,Montpellier,Metz,3.0,0.0,2.17,1.24
2024-02-18,Rennes,Clermont,3.0,1.0,2.48,1.55
2024-02-18,Reims,Lens,1.0,1.0,0.62,0.31
2024-02-18,Brest,Marseille,1.0,0.0,1.55,0.62
2024-02-23,Metz,Lyon,1.0,2.0,1.24,1.55
2024-02-24,Lorient,Nantes,0.0,1.0,0.31,1.86
2024-02-24,Strasbourg,Brest,0.0,3.0,0.62,2.48
2024-02-25,Lens,Monaco,2.0,3.0,3.1,2.79
2024-02-25,Le Havre,Reims,1.0,2.0,1.24,1.55
2024-02-25,Nice,Clermont,0.0,0.0,1.24,1.55
2024-02-25,Toulouse,Lille,3.0,1.0,1.24,0.62
2024-02-25,Paris SG,Rennes,1.0,1.0,0.93,0.31
2024-02-25,Marseille,Montpellier,4.0,1.0,1.86,1.24
2024-03-01,Monaco,Paris SG,0.0,0.0,1.86,2.17
2024-03-02,Reims,Lille,0.0,1.0,0.93,0.93
2024-03-02,Clermont,Marseille,1.0,5.0,0.62,3.41
2024-03-03,Toulouse,Nice,2.0,1.0,1.86,1.86
2024-03-03,Brest,Le Havre,1.0,0.0,1.24,0.62
2024-03-03,Montpellier,Strasbourg,2.0,2.0,2.17,1.24
2024-03-03,Nantes,Metz,0.0,2.0,0.62,1.24
2024-03-03,Rennes,Lorient,1.0,2.0,1.86,1.86
2024-03-03,Lyon,Lens,0.0,3.0,1.24,2.48
2024-03-08,Nice,Montpellier,1.0,2.0,1.55,0.62
2024-03-09,Lorient,Lyon,0.0,2.0,0.0,1.86
2024-03-09,Lens,Brest,1.0,0.0,0.62,0.93
2024-03-10,Paris SG,Reims,2.0,2.0,1.86,0.93
2024-03-10,Le Havre,Toulouse,1.0,0.0,1.24,0.0
2024-03-10,Metz,Clermont,1.0,0.0,0.62,1.86
2024-03-10,Strasbourg,Monaco,0.0,1.0,0.31,1.86
2024-03-10,Lille,Rennes,2.0,2.0,2.48,0.93
2024-03-10,Marseille,Nantes,2.0,0.0,1.24,0.93
2024-03-15,Toulouse,Lyon,2.0,3.0,1.55,1.86
2024-03-16,Nantes,Strasbourg,1.0,3.0,0.62,1.86
2024-03-16,Lens,Nice,1.0,3.0,1.24,0.93
2024-03-17,Brest,Lille,1.0,1.0,1.24,2.48
2024-03-17,Clermont,Le Havre,2.0,1.0,1.24,1.55
2024-03-17,Monaco,Lorient,2.0,2.0,2.48,1.86
2024-03-17,Reims,Metz,2.0,1.0,2.17,1.24
2024-03-17,Rennes,Marseille,2.0,0.0,1.24,0.31
2024-03-17,Montpellier,Paris SG,2.0,6.0,2.17,2.79
2024-03-29,Lille,Lens,2.0,1.0,1.86,0.93
2024-03-30,Metz,Monaco,2.0,5.0,2.17,2.17
2024-03-30,Lyon,Reims,1.0,1.0,0.93,1.55
2024-03-31,Clermont,Toulouse,0.0,3.0,1.55,1.55
2024-03-31,Lorient,Brest,0.0,1.0,1.55,0.62
2024-03-31,Le Havre,Montpellier,0.0,2.0,0.93,1.55
2024-03-31,Nice,Nantes,1.0,2.0,0.93,1.24
2024-03-31,Marseille,Paris SG,0.0,2.0,3.1,0.93
2024-03-31,Strasbourg,Rennes,2.0,0.0,2.17,0.0
2024-04-05,Lille,Marseille,3.0,1.0,1.86,1.24
2024-04-06,Lens,Le Havre,1.0,1.0,2.48,0.93
2024-04-06,Paris SG,Clermont,1.0,1.0,2.17,0.93
2024-04-07,Brest,Metz,4.0,3.0,3.1,1.86
2024-04-07,Montpellier,Lorient,2.0,0.0,1.55,1.55
