Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2020-09-20,Brest,Lorient,3,2,H,2,1,H,14,9,6,4,20,13,4,6,2,1,0,0,2.4,3.1,3.2,2.35,3.25,3.2,2.4,3.26,3.22,2.2,3.25,3.3,2.39,3.4,3.23,2020-21
F1,2020-09-20,Metz,Reims,2,1,H,1,1,D,14,10,4,4,14,7,8,5,1,4,0,1,2.55,3.0,3.1,2.7,2.9,2.95,2.69,2.88,3.17,2.8,2.9,2.75,3.01,2.88,2.92,2020-21
F1,2020-09-20,Montpellier,Angers,4,1,H,2,1,H,14,14,9,3,14,5,6,3,4,3,0,0,2.1,3.25,3.75,2.15,3.25,3.6,2.14,3.38,3.69,1.85,3.3,4.5,2.03,3.4,4.24,2020-21
F1,2020-09-20,Strasbourg,Dijon,1,0,H,0,0,D,17,6,6,2,10,16,8,2,1,1,0,0,1.65,3.75,5.5,1.72,3.75,5.0,1.7,3.87,5.34,1.57,3.8,6.0,1.61,4.16,6.13,2020-21
F1,2020-09-20,Nantes,St Etienne,2,2,D,0,1,A,15,6,3,4,12,17,4,2,2,2,0,0,2.3,3.1,3.4,2.35,3.1,3.3,2.34,3.29,3.3,2.2,3.1,3.6,2.26,3.37,3.52,2020-21
F1,2020-09-20,Marseille,Lille,1,1,D,0,0,D,11,14,2,7,12,18,5,4,3,3,0,0,2.3,3.2,3.3,2.3,3.25,3.25,2.39,3.27,3.25,2.45,3.2,3.0,2.47,3.21,3.27,2020-21
F1,2020-09-25,Lille,Nantes,2,0,H,1,0,H,12,12,4,6,16,12,4,7,0,2,0,0,1.66,3.75,5.5,1.72,3.6,5.25,1.69,3.76,5.65,1.61,3.8,5.5,1.69,3.81,5.55,2020-21
F1,2020-09-26,St Etienne,Rennes,0,3,A,0,1,A,6,10,4,6,11,12,6,4,1,1,0,0,2.87,3.1,2.6,2.75,3.0,2.8,2.93,3.18,2.65,3.1,3.1,2.45,3.33,3.22,2.43,2020-21
F1,2020-09-26,Marseille,Metz,1,1,D,0,0,D,17,14,3,3,15,11,5,5,0,2,0,0,1.61,3.75,6.0,1.65,3.8,5.5,1.68,3.7,5.99,1.57,3.75,6.5,1.62,3.89,6.63,2020-21
F1,2020-09-27,Bordeaux,Nice,0,0,D,0,0,D,18,13,5,2,9,15,7,7,1,1,0,0,2.1,3.25,3.6,2.2,3.25,3.5,2.21,3.2,3.72,2.0,3.3,3.8,2.13,3.39,3.88,2020-21
F1,2020-09-27,Angers,Brest,3,2,H,1,2,A,12,14,5,6,17,21,6,1,3,2,0,0,2.05,3.3,3.8,2.0,3.4,3.9,2.12,3.29,3.87,2.05,3.4,3.75,2.2,3.32,3.74,2020-21
F1,2020-09-27,Dijon,Montpellier,2,2,D,1,0,H,15,14,6,5,15,11,6,13,4,1,0,0,4.5,3.6,1.8,4.2,3.6,1.87,4.44,3.78,1.84,5.0,3.75,1.7,5.15,3.88,1.75,2020-21
F1,2020-09-27,Monaco,Strasbourg,3,2,H,2,0,H,11,11,5,5,11,12,6,2,3,1,2,0,1.85,3.5,4.2,1.9,3.5,4.25,1.88,3.65,4.4,1.7,3.75,5.0,1.74,3.84,5.3,2020-21
