Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2017-09-09,Montpellier,Nantes,0,1,A,0,0,D,11,12,3,4,7,12,8,3,1,2,1,0,2.15,3.2,3.8,2.2,3.1,3.6,2.28,3.12,3.77,2.2,3.15,4.01,2017-18
F1,2017-09-09,Nice,Monaco,4,0,H,2,0,H,9,11,5,1,19,14,2,11,2,2,0,0,4.75,3.6,1.8,4.5,3.75,1.78,4.61,3.86,1.81,4.75,4.07,1.78,2017-18
F1,2017-09-09,Strasbourg,Amiens,0,1,A,0,1,A,10,8,3,3,22,14,6,0,1,3,1,0,2.0,3.2,4.2,2.05,3.25,3.9,2.04,3.37,4.19,2.01,3.5,4.2,2017-18
F1,2017-09-09,Troyes,Toulouse,0,0,D,0,0,D,11,7,3,0,12,13,4,1,2,3,0,0,2.88,3.2,2.6,2.85,3.25,2.55,2.98,3.28,2.6,2.96,3.25,2.67,2017-18
F1,2017-09-10,Lyon,Guingamp,2,1,H,1,0,H,12,13,4,6,16,16,3,6,2,2,0,0,1.4,4.75,8.5,1.36,5.25,7.75,1.38,5.37,8.67,1.46,4.9,7.71,2017-18
F1,2017-09-10,Marseille,Rennes,1,3,A,0,2,A,10,17,4,4,18,14,5,2,6,1,0,0,1.67,4.0,5.0,1.67,3.9,5.25,1.7,4.02,5.28,1.57,4.46,6.35,2017-18
F1,2017-09-10,St Etienne,Angers,1,1,D,1,1,D,8,15,4,6,9,19,1,3,3,2,1,1,2.15,3.2,3.75,2.15,3.1,3.8,2.15,3.17,4.08,2.12,3.19,4.27,2017-18
F1,2017-09-15,Toulouse,Bordeaux,0,1,A,0,0,D,16,14,5,4,17,10,3,9,3,1,0,0,2.9,3.1,2.5,2.9,3.25,2.5,3.15,3.27,2.52,3.18,3.22,2.53,2017-18
F1,2017-09-16,Dijon,St Etienne,0,1,A,0,0,D,18,16,7,6,13,14,1,4,3,3,0,0,3.0,3.2,2.5,3.1,3.2,2.4,3.14,3.22,2.53,2.8,3.17,2.88,2017-18
F1,2017-09-16,Guingamp,Lille,1,0,H,0,0,D,20,10,4,5,8,17,8,8,1,1,0,0,2.15,3.3,3.5,2.15,3.2,3.7,2.14,3.29,3.94,2.07,3.44,4.05,2017-18
F1,2017-09-16,Monaco,Strasbourg,3,0,H,1,0,H,14,10,5,1,13,12,5,5,2,2,0,0,1.18,7.5,15.0,1.19,7.0,15.0,1.22,7.25,14.75,1.28,6.5,11.8,2017-18
F1,2017-09-16,Nantes,Caen,1,0,H,0,0,D,8,8,4,1,12,12,4,3,0,2,0,0,1.95,3.25,4.33,1.95,3.3,4.25,1.99,3.31,4.53,2.04,3.32,4.37,2017-18
F1,2017-09-16,Troyes,Montpellier,0,1,A,0,1,A,7,9,0,3,19,10,2,6,3,3,1,0,2.8,3.2,2.7,2.65,3.1,2.85,2.83,3.14,2.83,3.03,3.23,2.63,2017-18
F1,2017-09-17,Amiens,Marseille,0,2,A,0,0,D,8,22,3,6,11,15,6,3,2,3,0,0,4.0,3.2,2.05,4.0,3.3,2.0,4.09,3.47,2.03,3.51,3.53,2.21,2017-18
F1,2017-09-17,Angers,Metz,0,1,A,0,0,D,18,10,5,5,14,14,4,5,1,3,0,0,1.5,4.0,7.5,1.5,4.0,7.25,1.53,4.24,7.46,1.55,4.25,7.15,2017-18
F1,2017-09-17,Paris SG,Lyon,2,0,H,0,0,D,14,12,5,5,11,13,9,4,3,2,0,0,1.17,7.5,17.0,1.17,7.25,17.5,1.18,9.0,15.0,1.18,9.3,15.1,2017-18
F1,2017-09-17,Rennes,Nice,0,1,A,0,0,D,17,6,4,3,17,17,6,5,1,5,0,0,2.3,3.2,3.3,2.35,3.25,3.2,2.36,3.45,3.21,2.41,3.49,3.14,2017-18
