Date,Time,Matchday,HomeTeam,AwayTeam,Status
2027-03-12,07:00 PM ET,24,Nice,Toulouse,SCHEDULED
2027-03-12,07:00 PM ET,24,Paris FC,Lorient,SCHEDULED
2027-03-12,07:00 PM ET,24,Strasbourg,Angers,SCHEDULED
2027-03-12,07:00 PM ET,24,Le Mans FC,Stade Rennais FC 1901,SCHEDULED
2027-03-12,07:00 PM ET,24,Brest,Lille,SCHEDULED
2027-03-12,07:00 PM ET,24,Le Havre,Racing Club de Lens,SCHEDULED
2027-03-12,07:00 PM ET,24,Marseille,Monaco,SCHEDULED
2027-03-12,07:00 PM ET,24,Auxerre,Paris SG,SCHEDULED
2027-03-12,07:00 PM ET,24,Lyon,ES Troyes AC,SCHEDULED
2027-03-19,08:00 PM ET,25,Angers,Le Mans FC,SCHEDULED
2027-03-19,08:00 PM ET,25,Toulouse,Brest,SCHEDULED
2027-03-19,08:00 PM ET,25,ES Troyes AC,Auxerre,SCHEDULED
2027-03-19,08:00 PM ET,25,Stade Rennais FC 1901,Paris FC,SCHEDULED
2027-03-19,08:00 PM ET,25,Monaco,Le Havre,SCHEDULED
2027-03-19,08:00 PM ET,25,Paris SG,Strasbourg,SCHEDULED
2027-03-19,08:00 PM ET,25,Racing Club de Lens,Lille,SCHEDULED
2027-03-19,08:00 PM ET,25,Lorient,Nice,SCHEDULED
2027-03-21,03:45 PM ET,25,Marseille,Lyon,TIMED
2027-04-02,08:00 PM ET,26,Le Havre,ES Troyes AC,SCHEDULED
2027-04-02,08:00 PM ET,26,Angers,Monaco,SCHEDULED
2027-04-02,08:00 PM ET,26,Le Mans FC,Marseille,SCHEDULED
2027-04-02,08:00 PM ET,26,Auxerre,Racing Club de Lens,SCHEDULED
2027-04-02,08:00 PM ET,26,Lille,Stade Rennais FC 1901,SCHEDULED
2027-04-02,08:00 PM ET,26,Brest,Lorient,SCHEDULED
2027-04-02,08:00 PM ET,26,Strasbourg,Toulouse,SCHEDULED
2027-04-02,08:00 PM ET,26,Paris FC,Paris SG,SCHEDULED
2027-04-02,08:00 PM ET,26,Nice,Lyon,SCHEDULED
2027-04-09,08:00 PM ET,27,Lorient,Racing Club de Lens,SCHEDULED
2027-04-09,08:00 PM ET,27,Marseille,Brest,SCHEDULED
2027-04-09,08:00 PM ET,27,Monaco,Stade Rennais FC 1901,SCHEDULED
